nom|quantite|Poids|dimension|temps|contrainte|livraison||
##grain##||||||||
salade saumon alaska|2|200gr|boite conserve ronde plate|||||
velouté aux légumes anciens|2|1L|tetrabrick|10min|chauffer|||
filets de sardines au citron|4|135gr|boite de conserve plate|||||
pain des fleurs multicéréales|6|150gr|boite carton|||||
pain des fleurs sarrasin|6|150gr|boite carton|||||
lima bouteille riz|6|1L|bouteille|||||
bonneterre lait riz amande|4|1L|tetrabrick|||||
gouda jeune en tranches|4|150gr|paquet plat|||||
fromage de chèvre frais|4|100gr||||fragile||
hummus|2|200gr|boite en plastique|||||
yaourt brebis aux fruits rouges|3|125gr|petit pot|||||
petit pain|3|400gr|||demander si coupé ou pas|||
grand pain|3|800gr|||demander si coupé ou pas|||
mont roucous eau petit|6|0,5L|petite bouteille|||||
soda canette|20|33cl|canette|||||
jambon cuit|5|100gr|paquet plat||demander le goût|||
pâté végétal|10|125gr - 180gr|boite métal / pot verre||demander le goût|||
pomme|15|150gr|fruit|||fragile||
poire|15|150gr|fruit|||fragile||
chocolat belge noir 70%|5|150gr|tablette|||||
##leonidas##||||||||
BALLOTIN ASSORTIMENT 250G|10|250G NET - 274 BRUT||LA PLUPART DES BALLOTINS| |TEMPERATURE MAX 18°||
BALLOTIN ASSORTIMENT 500G|10|500G NET - 538 BRUT|RECONTACTER SI |SONT PRËTS LA VEILLE| |IDEAL 15-18°||
BALLOTIN ASSORTIMENT 750G|5|750G NET - 794 BRUT|NECESSAIRE|SAUF RUPTURE DE STOCK||||
BALLOTIN ASSORTIMENT 1 KG|5|1000 G NET - 1054 BRUT|083/21 63 45||ATTENTION AUX ALLERGENES (ICI, NOUS N'EN TENONS|||
BALLOTIN MELANGE MANONS BLANCS 250G|5|250G NET - 274 BRUT|||PAS COMPTE)|||
BALLOTIN MELANGE MANONS BLANCS 500G|5|500G NET - 538 BRUT||||||
BALLOTIN MELANGE MANONS BLANCS 750G|2|750G NET - 794 BRUT||||||
BALLOTIN MELANGE MANONS BLANCS 1 KGS|2|1000 G NET - 1054 BRUT||||||
BOITE ZANZIBAR 20 PRALINES ASSORT|5|ENV 300G NET||10 MIN||||
BOITE SANTIAGO 40 PRALINES ASSORT|5|ENV 600G NET||10MIN||||
BALLOTIN SSA ASSORTIMENT 250G|2|250G NET - 274 BRUT||10 MIN||||
BALLOTIN SSA ASSORTIMENT 500G|2|500G NET - 538 BRUT||10MIN||||
CELLO 250G ORANGETTES|5|ENV 250G||5MIN||||
CELLO 250G ASSORTIMENT MENDIANTS|5|ENV 250G||5MIN||||
CELLO 250G ASSORTIMENT LIQUEURS PURES|5|ENV 250G||5MIN||||
##enka##||||||||
Wrap de poisson|10||sachet + petit ravier|5'||frais, plusieurs emballages (wrap + salade)||
Wrap de viande|10||sachet + petit ravier|5'||frais, plusieurs emballages (wrap + salade)||
Tartine|10||sachet + petit ravier|5'||frais, plusieurs emballages (tartine + salade)||
Falafels|10|250gr|boite|10'||frais, dressage dans un bol transparent||
Gratins à réchauffer pour le soir|4||ravier en aluminium|0'||frais||
Eaux détox, thé glacé|15|40cl|gobelet 40cl |1'||frais, liquide dans un gobelet en plastique fermé||
Salade de lentilles|5|230gr|petit ravier|1'||frais, petit pot en plus pour la vinaigrette||
Salade de quinoa |10|230gr|petit ravier|1'||frais, petit pot en plus pour la vinaigrette||
Salade préparée|10||petit ravier|5'||frais, petit pot en plus pour la vinaigrette||
Boissons fraiches|10||canette|0'||frais||
desserts ; mousse choco, crumble, cookie, muffin,…|4||petit ravier|1'||frais ||
##malice##||||||||
Diamoniak – Djeco|2|||1 heure|||0|0
Piratatak – Djeco|2|||1 heure|||Err:508|Err:508
Piou Piou – Djeco|2|||1 heure|||0|#REF !
Batawaf – djeco|2|||1 heure|||Err:508|Err:508
Le verger - haba|1|||1 heure|||#REF !|0
Cubes empiler – Djeco|1|||1 heure|||Err:508|1 heure
Cartes à gratter djeco|2|||1 heure|||0|1 heure
Mandalas Av mandarine|1|||1 heure|||1 heure|1 heure
Pompoms Av mandarine|1|||1 heure|||1 heure|1 heure
Les 3 petits cochons|1|||1 heure|||1 heure|1 heure
Chaperon rouge|1|||1 heure|||1 heure|1 heure
Blanche-Neige|1|||1 heure|||1 heure|1 heure
lapin magicien|1|||1 heure|||1 heure|1 heure
V cube 3|1|||1 heure|||1 heure|1 heure
defis nature|3|||1 heure|||1 heure|1 heure
Box chevaux – Schleich|1|||1 heure|||1 heure|1 heure
Graphisme animaux|1|||1 heure|||1 heure|1 heure
Kapla|1|||1 heure|||1 heure|1 heure
lettres Lilliputiens|0|||1 heure|||1 heure|1 heure
puzzle duo djeco|1|||1 heure|||1 heure|1 heure
